tree_id,date,measurement_type,value,instrument_id,species,instrument_method,plot_id,status
T01,2022-01-01,dbh,32.0,INST_01,oak,digital_caliper,PLOT_1,alive
T01,2023-01-01,dbh,33.0,INST_01,oak,digital_caliper,PLOT_1,alive
T01,2024-01-01,dbh,34.0,INST_01,oak,digital_caliper,PLOT_1,alive
T01,2022-01-01,height,17.0,INST_H01,oak,field_inventory,PLOT_1,alive
T01,2024-01-01,height,18.0,INST_H01,oak,field_inventory,PLOT_1,alive
T02,2022-01-01,dbh,28.5,INST_02,oak,digital_caliper,PLOT_1,alive
T02,2023-01-01,dbh,29.3,INST_02,oak,digital_caliper,PLOT_1,alive
T02,2024-01-01,dbh,30.1,INST_02,oak,digital_caliper,PLOT_1,alive
T02,2022-01-01,height,15.5,INST_H02,oak,field_inventory,PLOT_1,alive
T02,2024-01-01,height,16.5,INST_H02,oak,field_inventory,PLOT_1,alive
T03,2022-01-01,dbh,38.0,INST_03,oak,digital_caliper,PLOT_1,alive
T03,2023-01-01,dbh,39.2,INST_03,oak,digital_caliper,PLOT_1,alive
T03,2024-01-01,dbh,40.3,INST_03,oak,digital_caliper,PLOT_1,alive
T03,2022-01-01,height,19.0,INST_H03,oak,field_inventory,PLOT_1,alive
T03,2024-01-01,height,20.0,INST_H03,oak,field_inventory,PLOT_1,alive
T04,2022-01-01,dbh,44.0,INST_04,oak,digital_caliper,PLOT_1,alive
T04,2023-01-01,dbh,45.2,INST_04,oak,digital_caliper,PLOT_1,alive
T04,2024-01-01,dbh,46.4,INST_04,oak,digital_caliper,PLOT_1,alive
T04,2022-01-01,height,21.0,INST_H04,oak,field_inventory,PLOT_1,alive
T04,2024-01-01,height,22.0,INST_H04,oak,field_inventory,PLOT_1,alive
T05,2022-01-01,dbh,25.0,INST_05,oak,digital_caliper,PLOT_1,alive
T05,2023-01-01,dbh,25.8,INST_05,oak,digital_caliper,PLOT_1,alive
T05,2024-01-01,dbh,26.5,INST_05,oak,digital_caliper,PLOT_1,alive
T05,2022-01-01,height,14.0,INST_H05,oak,field_inventory,PLOT_1,alive
T05,2024-01-01,height,15.0,INST_H05,oak,field_inventory,PLOT_1,alive
T06,2022-01-01,dbh,35.0,INST_06,beech,digital_caliper,PLOT_1,alive
T06,2023-01-01,dbh,36.2,INST_06,beech,digital_caliper,PLOT_1,alive
T06,2024-01-01,dbh,37.4,INST_06,beech,digital_caliper,PLOT_1,alive
T06,2022-01-01,height,18.0,INST_H06,beech,field_inventory,PLOT_1,alive
T06,2024-01-01,height,19.0,INST_H06,beech,field_inventory,PLOT_1,alive
T07,2022-01-01,dbh,29.0,INST_07,beech,digital_caliper,PLOT_1,alive
T07,2023-01-01,dbh,30.1,INST_07,beech,digital_caliper,PLOT_1,alive
T07,2024-01-01,dbh,31.2,INST_07,beech,digital_caliper,PLOT_1,alive
T07,2022-01-01,height,16.0,INST_H07,beech,field_inventory,PLOT_1,alive
T07,2024-01-01,height,17.0,INST_H07,beech,field_inventory,PLOT_1,alive
T08,2022-01-01,dbh,41.0,INST_08,beech,diameter_tape,PLOT_1,alive
T08,2023-01-01,dbh,42.2,INST_08,beech,diameter_tape,PLOT_1,alive
T08,2024-01-01,dbh,43.3,INST_08,beech,diameter_tape,PLOT_1,alive
T08,2022-01-01,height,20.0,INST_H08,beech,field_inventory,PLOT_1,alive
T08,2024-01-01,height,21.0,INST_H08,beech,field_inventory,PLOT_1,alive
T09,2022-01-01,dbh,26.5,INST_09,beech,diameter_tape,PLOT_1,alive
T09,2023-01-01,dbh,27.4,INST_09,beech,diameter_tape,PLOT_1,alive
T09,2024-01-01,dbh,28.3,INST_09,beech,diameter_tape,PLOT_1,alive
T09,2022-01-01,height,15.0,INST_H09,beech,field_inventory,PLOT_1,alive
T09,2024-01-01,height,16.0,INST_H09,beech,field_inventory,PLOT_1,alive
T10,2022-01-01,dbh,22.0,INST_10,birch,diameter_tape,PLOT_1,alive
T10,2023-01-01,dbh,23.3,INST_10,birch,diameter_tape,PLOT_1,alive
T10,2024-01-01,dbh,24.5,INST_10,birch,diameter_tape,PLOT_1,alive
T10,2022-01-01,height,14.5,INST_H10,birch,field_inventory,PLOT_1,alive
T10,2024-01-01,height,16.0,INST_H10,birch,field_inventory,PLOT_1,alive
T11,2022-01-01,dbh,27.0,INST_11,birch,diameter_tape,PLOT_1,alive
T11,2023-01-01,dbh,28.4,INST_11,birch,diameter_tape,PLOT_1,alive
T11,2024-01-01,dbh,29.8,INST_11,birch,diameter_tape,PLOT_1,alive
T11,2022-01-01,height,16.5,INST_H11,birch,field_inventory,PLOT_1,alive
T11,2024-01-01,height,18.0,INST_H11,birch,field_inventory,PLOT_1,alive
T12,2022-01-01,dbh,18.5,INST_12,birch,diameter_tape,PLOT_1,alive
T12,2023-01-01,dbh,19.8,INST_12,birch,diameter_tape,PLOT_1,alive
T12,2024-01-01,dbh,21.0,INST_12,birch,diameter_tape,PLOT_1,alive
T12,2022-01-01,height,13.0,INST_H12,birch,field_inventory,PLOT_1,alive
T12,2024-01-01,height,14.5,INST_H12,birch,field_inventory,PLOT_1,alive
T13,2022-01-01,dbh,31.0,INST_13,birch,diameter_tape,PLOT_1,alive
T13,2023-01-01,dbh,32.5,INST_13,birch,diameter_tape,PLOT_1,alive
T13,2024-01-01,dbh,33.9,INST_13,birch,diameter_tape,PLOT_1,alive
T13,2022-01-01,height,18.5,INST_H13,birch,field_inventory,PLOT_1,alive
T13,2024-01-01,height,20.0,INST_H13,birch,field_inventory,PLOT_1,alive
T14,2022-01-01,dbh,24.0,INST_14,maple,diameter_tape,PLOT_1,alive
T14,2023-01-01,dbh,25.0,INST_14,maple,diameter_tape,PLOT_1,alive
T14,2024-01-01,dbh,26.0,INST_14,maple,diameter_tape,PLOT_1,alive
T14,2022-01-01,height,14.5,INST_H14,maple,field_inventory,PLOT_1,alive
T14,2024-01-01,height,15.7,INST_H14,maple,field_inventory,PLOT_1,alive
T15,2022-01-01,dbh,30.5,INST_15,maple,electronic_dbh,PLOT_1,alive
T15,2023-01-01,dbh,31.4,INST_15,maple,electronic_dbh,PLOT_1,alive
T15,2024-01-01,dbh,32.3,INST_15,maple,electronic_dbh,PLOT_1,alive
T15,2022-01-01,height,17.0,INST_H15,maple,field_inventory,PLOT_1,alive
T15,2024-01-01,height,18.1,INST_H15,maple,field_inventory,PLOT_1,alive
T16,2022-01-01,dbh,19.0,INST_16,maple,electronic_dbh,PLOT_1,alive
T16,2023-01-01,dbh,19.9,INST_16,maple,electronic_dbh,PLOT_1,alive
T16,2024-01-01,dbh,20.7,INST_16,maple,electronic_dbh,PLOT_1,alive
T16,2022-01-01,height,12.5,INST_H16,maple,field_inventory,PLOT_1,alive
T16,2024-01-01,height,13.5,INST_H16,maple,field_inventory,PLOT_1,alive
T17,2022-01-01,dbh,36.0,INST_17,maple,electronic_dbh,PLOT_1,alive
T17,2023-01-01,dbh,37.2,INST_17,maple,electronic_dbh,PLOT_1,alive
T17,2024-01-01,dbh,38.3,INST_17,maple,electronic_dbh,PLOT_1,alive
T17,2022-01-01,height,19.0,INST_H17,maple,field_inventory,PLOT_1,alive
T17,2024-01-01,height,20.0,INST_H17,maple,field_inventory,PLOT_1,alive
T18,2022-01-01,dbh,26.0,INST_18,spruce,electronic_dbh,PLOT_1,alive
T18,2023-01-01,dbh,27.5,INST_18,spruce,electronic_dbh,PLOT_1,alive
T18,2024-01-01,dbh,29.0,INST_18,spruce,electronic_dbh,PLOT_1,alive
T18,2022-01-01,height,16.0,INST_H18,spruce,field_inventory,PLOT_1,alive
T18,2024-01-01,height,17.8,INST_H18,spruce,field_inventory,PLOT_1,alive
T19,2022-01-01,dbh,33.0,INST_19,spruce,electronic_dbh,PLOT_1,alive
T19,2023-01-01,dbh,34.2,INST_19,spruce,electronic_dbh,PLOT_1,alive
T19,2024-01-01,dbh,35.4,INST_19,spruce,electronic_dbh,PLOT_1,alive
T19,2022-01-01,height,18.5,INST_H19,spruce,field_inventory,PLOT_1,alive
T19,2024-01-01,height,20.1,INST_H19,spruce,field_inventory,PLOT_1,alive
T20,2022-01-01,dbh,21.5,INST_20,spruce,electronic_dbh,PLOT_1,alive
T20,2023-01-01,dbh,22.8,INST_20,spruce,electronic_dbh,PLOT_1,alive
T20,2024-01-01,dbh,24.0,INST_20,spruce,electronic_dbh,PLOT_1,alive
T20,2022-01-01,height,14.0,INST_H20,spruce,field_inventory,PLOT_1,alive
T20,2024-01-01,height,15.6,INST_H20,spruce,field_inventory,PLOT_1,alive
T21,2022-01-01,dbh,18.0,INST_21,pine,diameter_tape,PLOT_2,alive
T21,2023-01-01,dbh,19.6,INST_21,pine,diameter_tape,PLOT_2,alive
T21,2024-01-01,dbh,21.2,INST_21,pine,diameter_tape,PLOT_2,alive
T21,2022-01-01,height,13.0,INST_H21,pine,field_inventory,PLOT_2,alive
T21,2024-01-01,height,15.2,INST_H21,pine,field_inventory,PLOT_2,alive
T22,2022-01-01,dbh,18.5,INST_22,pine,diameter_tape,PLOT_2,alive
T22,2023-01-01,dbh,20.2,INST_22,pine,diameter_tape,PLOT_2,alive
T22,2024-01-01,dbh,21.9,INST_22,pine,diameter_tape,PLOT_2,alive
T22,2022-01-01,height,13.2,INST_H22,pine,field_inventory,PLOT_2,alive
T22,2024-01-01,height,15.4,INST_H22,pine,field_inventory,PLOT_2,alive
T23,2022-01-01,dbh,19.0,INST_23,pine,diameter_tape,PLOT_2,alive
T23,2023-01-01,dbh,20.8,INST_23,pine,diameter_tape,PLOT_2,alive
T23,2024-01-01,dbh,22.6,INST_23,pine,diameter_tape,PLOT_2,alive
T23,2022-01-01,height,13.5,INST_H23,pine,field_inventory,PLOT_2,alive
T23,2024-01-01,height,15.6,INST_H23,pine,field_inventory,PLOT_2,alive
T24,2022-01-01,dbh,19.5,INST_24,pine,diameter_tape,PLOT_2,alive
T24,2023-01-01,dbh,21.3,INST_24,pine,diameter_tape,PLOT_2,alive
T24,2024-01-01,dbh,23.1,INST_24,pine,diameter_tape,PLOT_2,alive
T24,2022-01-01,height,13.8,INST_H24,pine,field_inventory,PLOT_2,alive
T24,2024-01-01,height,15.9,INST_H24,pine,field_inventory,PLOT_2,alive
T25,2022-01-01,dbh,20.0,INST_25,pine,diameter_tape,PLOT_2,alive
T25,2023-01-01,dbh,21.9,INST_25,pine,diameter_tape,PLOT_2,alive
T25,2024-01-01,dbh,23.8,INST_25,pine,diameter_tape,PLOT_2,alive
T25,2022-01-01,height,14.0,INST_H25,pine,field_inventory,PLOT_2,alive
T25,2024-01-01,height,16.1,INST_H25,pine,field_inventory,PLOT_2,alive
T26,2022-01-01,dbh,20.5,INST_26,pine,diameter_tape,PLOT_2,alive
T26,2023-01-01,dbh,22.5,INST_26,pine,diameter_tape,PLOT_2,alive
T26,2024-01-01,dbh,24.4,INST_26,pine,diameter_tape,PLOT_2,alive
T26,2022-01-01,height,14.3,INST_H26,pine,field_inventory,PLOT_2,alive
T26,2024-01-01,height,16.5,INST_H26,pine,field_inventory,PLOT_2,alive
T27,2022-01-01,dbh,21.0,INST_27,pine,diameter_tape,PLOT_2,alive
T27,2023-01-01,dbh,23.0,INST_27,pine,diameter_tape,PLOT_2,alive
T27,2024-01-01,dbh,25.1,INST_27,pine,diameter_tape,PLOT_2,alive
T27,2022-01-01,height,14.5,INST_H27,pine,field_inventory,PLOT_2,alive
T27,2024-01-01,height,16.7,INST_H27,pine,field_inventory,PLOT_2,alive
T28,2022-01-01,dbh,21.5,INST_28,pine,diameter_tape,PLOT_2,alive
T28,2023-01-01,dbh,23.6,INST_28,pine,diameter_tape,PLOT_2,alive
T28,2024-01-01,dbh,25.7,INST_28,pine,diameter_tape,PLOT_2,alive
T28,2022-01-01,height,14.8,INST_H28,pine,field_inventory,PLOT_2,alive
T28,2024-01-01,height,17.0,INST_H28,pine,field_inventory,PLOT_2,alive
T29,2022-01-01,dbh,22.0,INST_29,pine,diameter_tape,PLOT_2,alive
T29,2023-01-01,dbh,24.2,INST_29,pine,diameter_tape,PLOT_2,alive
T29,2024-01-01,dbh,26.3,INST_29,pine,diameter_tape,PLOT_2,alive
T29,2022-01-01,height,15.0,INST_H29,pine,field_inventory,PLOT_2,alive
T29,2024-01-01,height,17.2,INST_H29,pine,field_inventory,PLOT_2,alive
T30,2022-01-01,dbh,22.5,INST_30,pine,diameter_tape,PLOT_2,alive
T30,2023-01-01,dbh,24.7,INST_30,pine,diameter_tape,PLOT_2,alive
T30,2024-01-01,dbh,26.8,INST_30,pine,diameter_tape,PLOT_2,alive
T30,2022-01-01,height,15.3,INST_H30,pine,field_inventory,PLOT_2,alive
T30,2024-01-01,height,17.4,INST_H30,pine,field_inventory,PLOT_2,alive
T31,2022-01-01,dbh,23.0,INST_31,pine,diameter_tape,PLOT_2,alive
T31,2023-01-01,dbh,25.2,INST_31,pine,diameter_tape,PLOT_2,alive
T31,2024-01-01,dbh,27.3,INST_31,pine,diameter_tape,PLOT_2,alive
T31,2022-01-01,height,15.5,INST_H31,pine,field_inventory,PLOT_2,alive
T31,2024-01-01,height,17.7,INST_H31,pine,field_inventory,PLOT_2,alive
T32,2022-01-01,dbh,23.5,INST_32,pine,diameter_tape,PLOT_2,alive
T32,2023-01-01,dbh,25.8,INST_32,pine,diameter_tape,PLOT_2,alive
T32,2024-01-01,dbh,28.0,INST_32,pine,diameter_tape,PLOT_2,alive
T32,2022-01-01,height,15.8,INST_H32,pine,field_inventory,PLOT_2,alive
T32,2024-01-01,height,18.0,INST_H32,pine,field_inventory,PLOT_2,alive
T33,2022-01-01,dbh,24.0,INST_33,pine,diameter_tape,PLOT_2,alive
T33,2023-01-01,dbh,26.2,INST_33,pine,diameter_tape,PLOT_2,alive
T33,2024-01-01,dbh,28.5,INST_33,pine,diameter_tape,PLOT_2,alive
T33,2022-01-01,height,16.0,INST_H33,pine,field_inventory,PLOT_2,alive
T33,2024-01-01,height,18.3,INST_H33,pine,field_inventory,PLOT_2,alive
T34,2022-01-01,dbh,24.5,INST_34,pine,diameter_tape,PLOT_2,alive
T34,2023-01-01,dbh,26.8,INST_34,pine,diameter_tape,PLOT_2,alive
T34,2024-01-01,dbh,29.0,INST_34,pine,diameter_tape,PLOT_2,alive
T34,2022-01-01,height,16.3,INST_H34,pine,field_inventory,PLOT_2,alive
T34,2024-01-01,height,18.5,INST_H34,pine,field_inventory,PLOT_2,alive
T35,2022-01-01,dbh,25.0,INST_35,pine,diameter_tape,PLOT_2,alive
T35,2023-01-01,dbh,27.3,INST_35,pine,diameter_tape,PLOT_2,alive
T35,2024-01-01,dbh,29.5,INST_35,pine,diameter_tape,PLOT_2,alive
T35,2022-01-01,height,16.5,INST_H35,pine,field_inventory,PLOT_2,alive
T35,2024-01-01,height,18.7,INST_H35,pine,field_inventory,PLOT_2,alive
T36,2022-01-01,dbh,25.5,INST_36,pine,diameter_tape,PLOT_2,alive
T36,2023-01-01,dbh,27.8,INST_36,pine,diameter_tape,PLOT_2,alive
T36,2024-01-01,dbh,30.0,INST_36,pine,diameter_tape,PLOT_2,alive
T36,2022-01-01,height,16.8,INST_H36,pine,field_inventory,PLOT_2,alive
T36,2024-01-01,height,19.0,INST_H36,pine,field_inventory,PLOT_2,alive
T37,2022-01-01,dbh,26.0,INST_37,pine,diameter_tape,PLOT_2,alive
T37,2023-01-01,dbh,28.3,INST_37,pine,diameter_tape,PLOT_2,alive
T37,2024-01-01,dbh,30.5,INST_37,pine,diameter_tape,PLOT_2,alive
T37,2022-01-01,height,17.0,INST_H37,pine,field_inventory,PLOT_2,alive
T37,2024-01-01,height,19.2,INST_H37,pine,field_inventory,PLOT_2,alive
T38,2022-01-01,dbh,26.5,INST_38,pine,diameter_tape,PLOT_2,alive
T38,2023-01-01,dbh,28.8,INST_38,pine,diameter_tape,PLOT_2,alive
T38,2024-01-01,dbh,31.0,INST_38,pine,diameter_tape,PLOT_2,alive
T38,2022-01-01,height,17.3,INST_H38,pine,field_inventory,PLOT_2,alive
T38,2024-01-01,height,19.5,INST_H38,pine,field_inventory,PLOT_2,alive
T39,2022-01-01,dbh,27.0,INST_39,pine,diameter_tape,PLOT_2,alive
T39,2023-01-01,dbh,29.3,INST_39,pine,diameter_tape,PLOT_2,alive
T39,2024-01-01,dbh,31.6,INST_39,pine,diameter_tape,PLOT_2,alive
T39,2022-01-01,height,17.5,INST_H39,pine,field_inventory,PLOT_2,alive
T39,2024-01-01,height,19.7,INST_H39,pine,field_inventory,PLOT_2,alive
T40,2022-01-01,dbh,27.5,INST_40,pine,diameter_tape,PLOT_2,alive
T40,2023-01-01,dbh,29.8,INST_40,pine,diameter_tape,PLOT_2,alive
T40,2024-01-01,dbh,32.1,INST_40,pine,diameter_tape,PLOT_2,alive
T40,2022-01-01,height,17.8,INST_H40,pine,field_inventory,PLOT_2,alive
T40,2024-01-01,height,20.0,INST_H40,pine,field_inventory,PLOT_2,alive
T41,2022-01-01,dbh,28.0,INST_41,pine,diameter_tape,PLOT_2,alive
T41,2023-01-01,dbh,30.3,INST_41,pine,diameter_tape,PLOT_2,alive
T41,2024-01-01,dbh,32.6,INST_41,pine,diameter_tape,PLOT_2,alive
T41,2022-01-01,height,18.0,INST_H41,pine,field_inventory,PLOT_2,alive
T41,2024-01-01,height,20.2,INST_H41,pine,field_inventory,PLOT_2,alive
T42,2022-01-01,dbh,28.5,INST_42,pine,diameter_tape,PLOT_2,alive
T42,2023-01-01,dbh,30.8,INST_42,pine,diameter_tape,PLOT_2,alive
T42,2024-01-01,dbh,33.2,INST_42,pine,diameter_tape,PLOT_2,alive
T42,2022-01-01,height,18.3,INST_H42,pine,field_inventory,PLOT_2,alive
T42,2024-01-01,height,20.5,INST_H42,pine,field_inventory,PLOT_2,alive
T43,2022-01-01,dbh,29.0,INST_43,pine,diameter_tape,PLOT_2,alive
T43,2023-01-01,dbh,31.3,INST_43,pine,diameter_tape,PLOT_2,alive
T43,2024-01-01,dbh,33.7,INST_43,pine,diameter_tape,PLOT_2,alive
T43,2022-01-01,height,18.5,INST_H43,pine,field_inventory,PLOT_2,alive
T43,2024-01-01,height,20.7,INST_H43,pine,field_inventory,PLOT_2,alive
T44,2022-01-01,dbh,29.5,INST_44,pine,diameter_tape,PLOT_2,alive
T44,2023-01-01,dbh,31.8,INST_44,pine,diameter_tape,PLOT_2,alive
T44,2024-01-01,dbh,34.2,INST_44,pine,diameter_tape,PLOT_2,alive
T44,2022-01-01,height,18.8,INST_H44,pine,field_inventory,PLOT_2,alive
T44,2024-01-01,height,21.0,INST_H44,pine,field_inventory,PLOT_2,alive
T45,2022-01-01,dbh,30.0,INST_45,pine,diameter_tape,PLOT_2,alive
T45,2023-01-01,dbh,32.3,INST_45,pine,diameter_tape,PLOT_2,alive
T45,2024-01-01,dbh,34.7,INST_45,pine,diameter_tape,PLOT_2,alive
T45,2022-01-01,height,19.0,INST_H45,pine,field_inventory,PLOT_2,alive
T45,2024-01-01,height,21.2,INST_H45,pine,field_inventory,PLOT_2,alive
T46,2022-01-01,dbh,30.5,INST_46,pine,diameter_tape,PLOT_2,alive
T46,2023-01-01,dbh,32.8,INST_46,pine,diameter_tape,PLOT_2,alive
T46,2024-01-01,dbh,35.2,INST_46,pine,diameter_tape,PLOT_2,alive
T46,2022-01-01,height,19.3,INST_H46,pine,field_inventory,PLOT_2,alive
T46,2024-01-01,height,21.5,INST_H46,pine,field_inventory,PLOT_2,alive
T47,2022-01-01,dbh,31.0,INST_47,pine,diameter_tape,PLOT_2,alive
T47,2023-01-01,dbh,33.3,INST_47,pine,diameter_tape,PLOT_2,alive
T47,2024-01-01,dbh,35.7,INST_47,pine,diameter_tape,PLOT_2,alive
T47,2022-01-01,height,19.5,INST_H47,pine,field_inventory,PLOT_2,alive
T47,2024-01-01,height,21.7,INST_H47,pine,field_inventory,PLOT_2,alive
