tree_id,date,measurement_type,value,instrument_id,species,instrument_method,plot_id,status
T48,2022-01-01,dbh,22.0,INST_48,birch,diameter_tape,PLOT_2,alive
T48,2023-01-01,dbh,23.8,INST_48,birch,diameter_tape,PLOT_2,alive
T48,2024-01-01,dbh,25.5,INST_48,birch,diameter_tape,PLOT_2,alive
T48,2022-01-01,height,15.0,INST_H48,birch,field_inventory,PLOT_2,alive
T48,2024-01-01,height,16.8,INST_H48,birch,field_inventory,PLOT_2,alive
T49,2022-01-01,dbh,23.5,INST_49,pine,diameter_tape,PLOT_2,dead
T49,2023-01-01,dbh,25.6,INST_49,pine,diameter_tape,PLOT_2,dead
T49,2022-01-01,height,15.5,INST_H49,pine,field_inventory,PLOT_2,dead
T49,2023-01-01,height,16.6,INST_H49,pine,field_inventory,PLOT_2,dead
T50,2022-01-01,dbh,21.0,INST_50,,diameter_tape,PLOT_2,alive
T50,2023-01-01,dbh,23.0,INST_50,,diameter_tape,PLOT_2,alive
T50,2024-01-01,dbh,25.0,INST_50,,diameter_tape,PLOT_2,alive
T50,2022-01-01,height,14.0,INST_H50,,field_inventory,PLOT_2,alive
T50,2024-01-01,height,16.0,INST_H50,,field_inventory,PLOT_2,alive
T51,2022-01-01,dbh,9.0,INST_51,birch,diameter_tape,PLOT_3,alive
T51,2023-01-01,dbh,10.5,INST_51,birch,diameter_tape,PLOT_3,alive
T51,2024-01-01,dbh,12.0,INST_51,birch,diameter_tape,PLOT_3,alive
T51,2022-01-01,height,5.5,INST_H51,birch,field_inventory,PLOT_3,alive
T51,2024-01-01,height,7.1,INST_H51,birch,field_inventory,PLOT_3,alive
T52,2022-01-01,dbh,10.5,INST_52,oak,diameter_tape,PLOT_3,alive
T52,2023-01-01,dbh,11.5,INST_52,oak,diameter_tape,PLOT_3,alive
T52,2024-01-01,dbh,12.5,INST_52,oak,diameter_tape,PLOT_3,alive
T52,2022-01-01,height,6.5,INST_H52,oak,field_inventory,PLOT_3,alive
T52,2024-01-01,height,8.1,INST_H52,oak,field_inventory,PLOT_3,alive
T53,2022-01-01,dbh,7.5,INST_53,oak,diameter_tape,PLOT_3,alive
T53,2023-01-01,dbh,8.5,INST_53,oak,diameter_tape,PLOT_3,alive
T53,2024-01-01,dbh,9.5,INST_53,oak,diameter_tape,PLOT_3,alive
T53,2022-01-01,height,4.8,INST_H53,oak,field_inventory,PLOT_3,alive
T53,2024-01-01,height,6.0,INST_H53,oak,field_inventory,PLOT_3,alive
T54,2022-01-01,dbh,9.5,INST_54,birch,diameter_tape,PLOT_3,alive
T54,2023-01-01,dbh,11.0,INST_54,birch,diameter_tape,PLOT_3,alive
T54,2024-01-01,dbh,12.5,INST_54,birch,diameter_tape,PLOT_3,alive
T54,2022-01-01,height,6.0,INST_H54,birch,field_inventory,PLOT_3,alive
T54,2024-01-01,height,7.5,INST_H54,birch,field_inventory,PLOT_3,alive
T55,2022-01-01,dbh,0.9,INST_55,birch,diameter_tape,PLOT_3,alive
T55,2023-01-01,dbh,1.8,INST_55,birch,diameter_tape,PLOT_3,alive
T55,2024-01-01,dbh,2.7,INST_55,birch,diameter_tape,PLOT_3,alive
T55,2022-01-01,height,0.9,INST_H55,birch,field_inventory,PLOT_3,alive
T55,2024-01-01,height,1.7,INST_H55,birch,field_inventory,PLOT_3,alive
T56,2022-01-01,dbh,1.2,INST_56,birch,diameter_tape,PLOT_3,alive
T56,2023-01-01,dbh,2.1,INST_56,birch,diameter_tape,PLOT_3,alive
T56,2024-01-01,dbh,3.0,INST_56,birch,diameter_tape,PLOT_3,alive
T56,2022-01-01,height,1.1,INST_H56,birch,field_inventory,PLOT_3,alive
T56,2024-01-01,height,1.9,INST_H56,birch,field_inventory,PLOT_3,alive
T57,2022-01-01,dbh,1.5,INST_57,birch,diameter_tape,PLOT_3,alive
T57,2023-01-01,dbh,2.4,INST_57,birch,diameter_tape,PLOT_3,alive
T57,2024-01-01,dbh,3.3,INST_57,birch,diameter_tape,PLOT_3,alive
T57,2022-01-01,height,1.3,INST_H57,birch,field_inventory,PLOT_3,alive
T57,2024-01-01,height,2.2,INST_H57,birch,field_inventory,PLOT_3,alive
T58,2022-01-01,dbh,1.8,INST_58,birch,diameter_tape,PLOT_3,alive
T58,2023-01-01,dbh,2.7,INST_58,birch,diameter_tape,PLOT_3,alive
T58,2024-01-01,dbh,3.6,INST_58,birch,diameter_tape,PLOT_3,alive
T58,2022-01-01,height,1.6,INST_H58,birch,field_inventory,PLOT_3,alive
T58,2024-01-01,height,2.5,INST_H58,birch,field_inventory,PLOT_3,alive
T59,2022-01-01,dbh,2.2,INST_59,birch,diameter_tape,PLOT_3,alive
T59,2023-01-01,dbh,3.1,INST_59,birch,diameter_tape,PLOT_3,alive
T59,2024-01-01,dbh,4.0,INST_59,birch,diameter_tape,PLOT_3,alive
T59,2022-01-01,height,1.9,INST_H59,birch,field_inventory,PLOT_3,alive
T59,2024-01-01,height,2.8,INST_H59,birch,field_inventory,PLOT_3,alive
T60,2022-01-01,dbh,2.6,INST_60,birch,diameter_tape,PLOT_3,alive
T60,2023-01-01,dbh,3.5,INST_60,birch,diameter_tape,PLOT_3,alive
T60,2024-01-01,dbh,4.3,INST_60,birch,diameter_tape,PLOT_3,alive
T60,2022-01-01,height,2.2,INST_H60,birch,field_inventory,PLOT_3,alive
T60,2024-01-01,height,3.2,INST_H60,birch,field_inventory,PLOT_3,alive
T61,2022-01-01,dbh,3.0,INST_61,birch,diameter_tape,PLOT_3,alive
T61,2023-01-01,dbh,3.8,INST_61,birch,diameter_tape,PLOT_3,alive
T61,2024-01-01,dbh,4.6,INST_61,birch,diameter_tape,PLOT_3,alive
T61,2022-01-01,height,2.6,INST_H61,birch,field_inventory,PLOT_3,alive
T61,2024-01-01,height,3.6,INST_H61,birch,field_inventory,PLOT_3,alive
T62,2022-01-01,dbh,3.5,INST_62,birch,diameter_tape,PLOT_3,alive
T62,2023-01-01,dbh,4.2,INST_62,birch,diameter_tape,PLOT_3,alive
T62,2024-01-01,dbh,4.9,INST_62,birch,diameter_tape,PLOT_3,alive
T62,2022-01-01,height,3.0,INST_H62,birch,field_inventory,PLOT_3,alive
T62,2024-01-01,height,4.0,INST_H62,birch,field_inventory,PLOT_3,alive
T63,2022-01-01,dbh,1.0,INST_63,oak,diameter_tape,PLOT_3,alive
T63,2023-01-01,dbh,1.6,INST_63,oak,diameter_tape,PLOT_3,alive
T63,2024-01-01,dbh,2.3,INST_63,oak,diameter_tape,PLOT_3,alive
T63,2022-01-01,height,1.0,INST_H63,oak,field_inventory,PLOT_3,alive
T63,2024-01-01,height,1.7,INST_H63,oak,field_inventory,PLOT_3,alive
T64,2022-01-01,dbh,1.4,INST_64,oak,diameter_tape,PLOT_3,alive
T64,2023-01-01,dbh,2.0,INST_64,oak,diameter_tape,PLOT_3,alive
T64,2024-01-01,dbh,2.7,INST_64,oak,diameter_tape,PLOT_3,alive
T64,2022-01-01,height,1.2,INST_H64,oak,field_inventory,PLOT_3,alive
T64,2024-01-01,height,1.9,INST_H64,oak,field_inventory,PLOT_3,alive
T65,2022-01-01,dbh,1.8,INST_65,oak,diameter_tape,PLOT_3,alive
T65,2023-01-01,dbh,2.4,INST_65,oak,diameter_tape,PLOT_3,alive
T65,2024-01-01,dbh,3.1,INST_65,oak,diameter_tape,PLOT_3,alive
T65,2022-01-01,height,1.5,INST_H65,oak,field_inventory,PLOT_3,alive
T65,2024-01-01,height,2.3,INST_H65,oak,field_inventory,PLOT_3,alive
T66,2022-01-01,dbh,2.3,INST_66,oak,diameter_tape,PLOT_3,alive
T66,2023-01-01,dbh,2.9,INST_66,oak,diameter_tape,PLOT_3,alive
T66,2024-01-01,dbh,3.6,INST_66,oak,diameter_tape,PLOT_3,alive
T66,2022-01-01,height,1.9,INST_H66,oak,field_inventory,PLOT_3,alive
T66,2024-01-01,height,2.7,INST_H66,oak,field_inventory,PLOT_3,alive
T67,2022-01-01,dbh,2.8,INST_67,oak,diameter_tape,PLOT_3,alive
T67,2023-01-01,dbh,3.4,INST_67,oak,diameter_tape,PLOT_3,alive
T67,2024-01-01,dbh,4.1,INST_67,oak,diameter_tape,PLOT_3,alive
T67,2022-01-01,height,2.3,INST_H67,oak,field_inventory,PLOT_3,alive
T67,2024-01-01,height,3.1,INST_H67,oak,field_inventory,PLOT_3,alive
T68,2022-01-01,dbh,3.5,INST_68,oak,diameter_tape,PLOT_3,alive
T68,2023-01-01,dbh,4.0,INST_68,oak,diameter_tape,PLOT_3,alive
T68,2024-01-01,dbh,4.6,INST_68,oak,diameter_tape,PLOT_3,alive
T68,2022-01-01,height,2.8,INST_H68,oak,field_inventory,PLOT_3,alive
T68,2024-01-01,height,3.7,INST_H68,oak,field_inventory,PLOT_3,alive
T69,2022-01-01,dbh,1.1,INST_69,beech,diameter_tape,PLOT_3,alive
T69,2023-01-01,dbh,1.7,INST_69,beech,diameter_tape,PLOT_3,alive
T69,2024-01-01,dbh,2.4,INST_69,beech,diameter_tape,PLOT_3,alive
T69,2022-01-01,height,1.0,INST_H69,beech,field_inventory,PLOT_3,alive
T69,2024-01-01,height,1.8,INST_H69,beech,field_inventory,PLOT_3,alive
T70,2022-01-01,dbh,1.5,INST_70,beech,diameter_tape,PLOT_3,alive
T70,2023-01-01,dbh,2.2,INST_70,beech,diameter_tape,PLOT_3,alive
T70,2024-01-01,dbh,2.9,INST_70,beech,diameter_tape,PLOT_3,alive
T70,2022-01-01,height,1.3,INST_H70,beech,field_inventory,PLOT_3,alive
T70,2024-01-01,height,2.1,INST_H70,beech,field_inventory,PLOT_3,alive
T71,2022-01-01,dbh,2.0,INST_71,beech,diameter_tape,PLOT_3,alive
T71,2023-01-01,dbh,2.7,INST_71,beech,diameter_tape,PLOT_3,alive
T71,2024-01-01,dbh,3.4,INST_71,beech,diameter_tape,PLOT_3,alive
T71,2022-01-01,height,1.7,INST_H71,beech,field_inventory,PLOT_3,alive
T71,2024-01-01,height,2.6,INST_H71,beech,field_inventory,PLOT_3,alive
T72,2022-01-01,dbh,2.5,INST_72,beech,diameter_tape,PLOT_3,alive
T72,2023-01-01,dbh,3.2,INST_72,beech,diameter_tape,PLOT_3,alive
T72,2024-01-01,dbh,3.9,INST_72,beech,diameter_tape,PLOT_3,alive
T72,2022-01-01,height,2.1,INST_H72,beech,field_inventory,PLOT_3,alive
T72,2024-01-01,height,3.0,INST_H72,beech,field_inventory,PLOT_3,alive
T73,2022-01-01,dbh,3.0,INST_73,beech,diameter_tape,PLOT_3,alive
T73,2023-01-01,dbh,3.7,INST_73,beech,diameter_tape,PLOT_3,alive
T73,2024-01-01,dbh,4.4,INST_73,beech,diameter_tape,PLOT_3,alive
T73,2022-01-01,height,2.5,INST_H73,beech,field_inventory,PLOT_3,alive
T73,2024-01-01,height,3.4,INST_H73,beech,field_inventory,PLOT_3,alive
T74,2022-01-01,dbh,3.5,INST_74,beech,diameter_tape,PLOT_3,alive
T74,2023-01-01,dbh,4.1,INST_74,beech,diameter_tape,PLOT_3,alive
T74,2024-01-01,dbh,4.7,INST_74,beech,diameter_tape,PLOT_3,alive
T74,2022-01-01,height,3.0,INST_H74,beech,field_inventory,PLOT_3,alive
T74,2024-01-01,height,4.0,INST_H74,beech,field_inventory,PLOT_3,alive
T75,2022-01-01,dbh,1.3,INST_75,maple,diameter_tape,PLOT_3,alive
T75,2023-01-01,dbh,2.0,INST_75,maple,diameter_tape,PLOT_3,alive
T75,2024-01-01,dbh,2.7,INST_75,maple,diameter_tape,PLOT_3,alive
T75,2022-01-01,height,1.2,INST_H75,maple,field_inventory,PLOT_3,alive
T75,2024-01-01,height,2.0,INST_H75,maple,field_inventory,PLOT_3,alive
T76,2022-01-01,dbh,2.1,INST_76,maple,diameter_tape,PLOT_3,alive
T76,2023-01-01,dbh,2.8,INST_76,maple,diameter_tape,PLOT_3,alive
T76,2024-01-01,dbh,3.5,INST_76,maple,diameter_tape,PLOT_3,alive
T76,2022-01-01,height,1.9,INST_H76,maple,field_inventory,PLOT_3,alive
T76,2024-01-01,height,2.8,INST_H76,maple,field_inventory,PLOT_3,alive
T77,2022-01-01,dbh,2.8,INST_77,maple,diameter_tape,PLOT_3,alive
T77,2023-01-01,dbh,3.5,INST_77,maple,diameter_tape,PLOT_3,alive
T77,2024-01-01,dbh,4.2,INST_77,maple,diameter_tape,PLOT_3,alive
T77,2022-01-01,height,2.4,INST_H77,maple,field_inventory,PLOT_3,alive
T77,2024-01-01,height,3.3,INST_H77,maple,field_inventory,PLOT_3,alive
T78,2022-01-01,dbh,3.5,INST_78,maple,diameter_tape,PLOT_3,alive
T78,2023-01-01,dbh,4.1,INST_78,maple,diameter_tape,PLOT_3,alive
T78,2024-01-01,dbh,4.8,INST_78,maple,diameter_tape,PLOT_3,alive
T78,2022-01-01,height,3.0,INST_H78,maple,field_inventory,PLOT_3,alive
T78,2024-01-01,height,4.0,INST_H78,maple,field_inventory,PLOT_3,alive
T79,2022-01-01,dbh,72.0,INST_79,oak,electronic_dbh,PLOT_4,alive
T79,2023-01-01,dbh,72.4,INST_79,oak,electronic_dbh,PLOT_4,alive
T79,2024-01-01,dbh,72.8,INST_79,oak,electronic_dbh,PLOT_4,alive
T79,2022-01-01,height,28.0,INST_H79,oak,satellite_remote_sensing,PLOT_4,alive
T79,2024-01-01,height,28.7,INST_H79,oak,satellite_remote_sensing,PLOT_4,alive
T80,2022-01-01,dbh,65.0,INST_80,oak,electronic_dbh,PLOT_4,alive
T80,2023-01-01,dbh,65.4,INST_80,oak,electronic_dbh,PLOT_4,alive
T80,2024-01-01,dbh,65.8,INST_80,oak,electronic_dbh,PLOT_4,alive
T80,2022-01-01,height,26.0,INST_H80,oak,satellite_remote_sensing,PLOT_4,alive
T80,2024-01-01,height,26.8,INST_H80,oak,satellite_remote_sensing,PLOT_4,alive
T81,2022-01-01,dbh,80.0,INST_81,oak,electronic_dbh,PLOT_4,alive
T81,2023-01-01,dbh,80.3,INST_81,oak,electronic_dbh,PLOT_4,alive
T81,2024-01-01,dbh,80.7,INST_81,oak,electronic_dbh,PLOT_4,alive
T81,2022-01-01,height,30.0,INST_H81,oak,satellite_remote_sensing,PLOT_4,alive
T81,2024-01-01,height,30.7,INST_H81,oak,satellite_remote_sensing,PLOT_4,alive
T82,2022-01-01,dbh,58.0,INST_82,oak,electronic_dbh,PLOT_4,alive
T82,2023-01-01,dbh,58.4,INST_82,oak,electronic_dbh,PLOT_4,alive
T82,2024-01-01,dbh,58.8,INST_82,oak,electronic_dbh,PLOT_4,alive
T82,2022-01-01,height,24.0,INST_H82,oak,satellite_remote_sensing,PLOT_4,alive
T82,2024-01-01,height,24.8,INST_H82,oak,satellite_remote_sensing,PLOT_4,alive
T83,2022-01-01,dbh,85.0,INST_83,oak,electronic_dbh,PLOT_4,alive
T83,2023-01-01,dbh,85.4,INST_83,oak,electronic_dbh,PLOT_4,alive
T83,2024-01-01,dbh,85.8,INST_83,oak,electronic_dbh,PLOT_4,alive
T83,2022-01-01,height,31.0,INST_H83,oak,satellite_remote_sensing,PLOT_4,alive
T83,2024-01-01,height,31.8,INST_H83,oak,satellite_remote_sensing,PLOT_4,alive
T84,2022-01-01,dbh,52.0,INST_84,oak,electronic_dbh,PLOT_4,alive
T84,2023-01-01,dbh,52.5,INST_84,oak,electronic_dbh,PLOT_4,alive
T84,2024-01-01,dbh,52.9,INST_84,oak,electronic_dbh,PLOT_4,alive
T84,2022-01-01,height,23.0,INST_H84,oak,satellite_remote_sensing,PLOT_4,alive
T84,2024-01-01,height,23.9,INST_H84,oak,satellite_remote_sensing,PLOT_4,alive
T85,2022-01-01,dbh,62.0,INST_85,beech,electronic_dbh,PLOT_4,alive
T85,2023-01-01,dbh,62.4,INST_85,beech,electronic_dbh,PLOT_4,alive
T85,2024-01-01,dbh,62.8,INST_85,beech,electronic_dbh,PLOT_4,alive
T85,2022-01-01,height,25.0,INST_H85,beech,satellite_remote_sensing,PLOT_4,alive
T85,2024-01-01,height,25.8,INST_H85,beech,satellite_remote_sensing,PLOT_4,alive
T86,2022-01-01,dbh,71.0,INST_86,beech,electronic_dbh,PLOT_4,alive
T86,2023-01-01,dbh,71.3,INST_86,beech,electronic_dbh,PLOT_4,alive
T86,2024-01-01,dbh,71.6,INST_86,beech,electronic_dbh,PLOT_4,alive
T86,2022-01-01,height,28.5,INST_H86,beech,satellite_remote_sensing,PLOT_4,alive
T86,2024-01-01,height,29.1,INST_H86,beech,satellite_remote_sensing,PLOT_4,alive
T87,2022-01-01,dbh,55.0,INST_87,beech,electronic_dbh,PLOT_4,alive
T87,2023-01-01,dbh,55.4,INST_87,beech,electronic_dbh,PLOT_4,alive
T87,2024-01-01,dbh,55.8,INST_87,beech,electronic_dbh,PLOT_4,alive
T87,2022-01-01,height,24.0,INST_H87,beech,satellite_remote_sensing,PLOT_4,alive
T87,2024-01-01,height,24.8,INST_H87,beech,satellite_remote_sensing,PLOT_4,alive
T88,2022-01-01,dbh,77.0,INST_88,beech,electronic_dbh,PLOT_4,alive
T88,2023-01-01,dbh,77.3,INST_88,beech,electronic_dbh,PLOT_4,alive
T88,2024-01-01,dbh,77.6,INST_88,beech,electronic_dbh,PLOT_4,alive
T88,2022-01-01,height,29.0,INST_H88,beech,satellite_remote_sensing,PLOT_4,alive
T88,2024-01-01,height,29.6,INST_H88,beech,satellite_remote_sensing,PLOT_4,alive
T89,2022-01-01,dbh,54.0,INST_89,beech,electronic_dbh,PLOT_4,alive
T89,2023-01-01,dbh,54.4,INST_89,beech,electronic_dbh,PLOT_4,alive
T89,2024-01-01,dbh,54.8,INST_89,beech,electronic_dbh,PLOT_4,alive
T89,2022-01-01,height,23.5,INST_H89,beech,satellite_remote_sensing,PLOT_4,alive
T89,2024-01-01,height,24.3,INST_H89,beech,satellite_remote_sensing,PLOT_4,alive
T90,2022-01-01,dbh,45.0,INST_90,birch,electronic_dbh,PLOT_4,alive
T90,2023-01-01,dbh,45.3,INST_90,birch,electronic_dbh,PLOT_4,alive
T90,2024-01-01,dbh,45.6,INST_90,birch,electronic_dbh,PLOT_4,alive
T90,2022-01-01,height,22.0,INST_H90,birch,satellite_remote_sensing,PLOT_4,alive
T90,2024-01-01,height,22.6,INST_H90,birch,satellite_remote_sensing,PLOT_4,alive
T91,2022-01-01,dbh,52.0,INST_91,birch,electronic_dbh,PLOT_4,alive
T91,2023-01-01,dbh,52.3,INST_91,birch,electronic_dbh,PLOT_4,alive
T91,2024-01-01,dbh,52.6,INST_91,birch,electronic_dbh,PLOT_4,alive
T91,2022-01-01,height,23.5,INST_H91,birch,satellite_remote_sensing,PLOT_4,alive
T91,2024-01-01,height,24.1,INST_H91,birch,satellite_remote_sensing,PLOT_4,alive
T92,2022-01-01,dbh,58.0,INST_92,maple,electronic_dbh,PLOT_4,alive
T92,2023-01-01,dbh,58.3,INST_92,maple,electronic_dbh,PLOT_4,alive
T92,2024-01-01,dbh,58.6,INST_92,maple,electronic_dbh,PLOT_4,alive
T92,2022-01-01,height,24.5,INST_H92,maple,satellite_remote_sensing,PLOT_4,alive
T92,2024-01-01,height,25.1,INST_H92,maple,satellite_remote_sensing,PLOT_4,alive
T93,2022-01-01,dbh,63.0,INST_93,maple,electronic_dbh,PLOT_4,alive
T93,2023-01-01,dbh,63.3,INST_93,maple,electronic_dbh,PLOT_4,alive
T93,2024-01-01,dbh,63.6,INST_93,maple,electronic_dbh,PLOT_4,alive
T93,2022-01-01,height,25.5,INST_H93,maple,satellite_remote_sensing,PLOT_4,alive
T93,2024-01-01,height,26.1,INST_H93,maple,satellite_remote_sensing,PLOT_4,alive
T94,2022-01-01,dbh,68.0,INST_94,oak,electronic_dbh,PLOT_4,dead
T94,2022-01-01,height,27.5,INST_H94,oak,satellite_remote_sensing,PLOT_4,dead
T95,2022-01-01,dbh,73.0,INST_95,beech,electronic_dbh,PLOT_4,dead
T95,2022-01-01,height,28.0,INST_H95,beech,satellite_remote_sensing,PLOT_4,dead
T96,2022-01-01,dbh,40.0,INST_96,birch,electronic_dbh,PLOT_4,dead
T96,2022-01-01,height,21.5,INST_H96,birch,satellite_remote_sensing,PLOT_4,dead
